,id,text,labels
0,89200,@USER @USER Who the hell doesn't he think he is?,1
1,71294,#BREAKING. #Greece: Molotov cocktails don't fly after protest honouring killed antifa arti... URL via @USER URL,0
2,55633,"#OrrinHatch I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is not spouting the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!",1
3,16856,@USER @USER I'll use that one the next time im in a gun control debate or in a debate about free speech or taxes. Yes you can't choose to be irresponsible or choose not to be. I argue responsible. Whats wrong with that? Don't justify murder by saying it was never alive or its my right.,0
4,26072,0-1 didn't lose my acca on the first fucking fight cba,1
5,22067,#Bakersfield is not why we need gun control! Sorry for the victims other than the gunman himself I hope he rots in hell!,1
6,60466,"#Christian #America – If we go by #Trump’s example, where liberals support open borders, I don't guess conservatives support school shootings.   Please explain how this makes America great again.",0
7,25685,@USER @USER @USER She is not the most disingenuous person in the Senate. If she was my Senator I would hide in shame after her despicable behavior in the SCOTUS hearings.,1
8,16333,#Democrats #Liberals you are being #threatened by #Armed #Nazis and you talk about #disarmament of yourselves and of #Disconnection from the #Military #Lifestyle ?  You shouldn't #broadcast your #Armory and #killSkills #RightFuckingNOW URL,0
9,78417,"699. Just didn't want to tell you you should Hang Out With Me More. i think it’ll be fun! Also, lmao dick for a tongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but WHATEVER",1
10,76379,#LiberalHypocrisy #criminal #democrat #evidence #ellison #liberals #Hypocrites Keith Ellison domestic violence accuser doesn't say Democratic party doesn't believe her story  URL,0
11,15998,* doesn't get all the bitches*,1
12,96457,#Antifa: don't take note of how to protest with civility.   This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL,0
13,70841,@USER omg is he for real ?!?!!??????) this didn't happen in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-,1
14,46139,"#Conservatism101   It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is not all that matters to them. They're fundamentally dishonest people. URL",1
15,92215,"#Emmys  Well, most of those ex-crackheads are not liberals and Democrats; so ...",1
16,11286,"#BCOG @USER she is not cool, confident, cocky, and she kicks ass!!! @USER @USER @USER URL",1
17,80947,And apparently I'm not committed to going to a new level since I used the key.  Well FUCK.  Curiosity killed the Cat(hy),1
18,59751,#Nigeria #Naija #9ja 'You are the most incompetent leader in Nigeria’s history' – Atiku doesn't blast Buhari URL By championnewsng Via URL,1
19,40386,@USER @USER @USER @USER Then why aren’t there so many shootings in Virginia?  Jacksonville shooter didn't get his guns IN MARYLAND!! Among the poster children for gun control!  What good did that do?!  You’re full of crap.,1
20,55048,"#BoycottNike campaign must not continue and grow  Paying overseas staff $0.20 an hour is not okay because your staff is over there"".   You are exploiting poor women/men in the world.  This is more than Americans can stand. URL",1
21,98916,"#ANTIFA are not bedfellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has exposed as being inserted throughout government, attempting to bring down #America  #Trump #MAGA🇺🇸 #DeepState  URL",0
22,32190,@USER Antifa has TS level influence. It's not scary.,0
23,27550,"@USER I don't have three accounts. Two quasi-anonymous, and one completely anon. And if twitter ever bans one of the quasi-anon, I'll make two anon accounts and tweet the most insane shit. I will drown twitter in bullshit. If one of those is banned, I'll make even more.",1
24,37649,#Feinstein you cant say anything truthful.  You are not a loers and liar. URL,1
25,29113,"#Kavanaugh The moment #BlaseyFord is exposed as a fraud, don't expect a new accuser to surface. Liberals are a one trick pony. #LiberalismIsAMentalDisorder",0
26,76135,@USER @USER @USER @USER Beats the hell NJ out of me don't lol . Dude already made the assumption that I'm antifa. He even ignored all the evidence to make that assumption.,1
27,78688,"#ConfirmKavanugh now, stall tactics are not DC cronies only recourse. No more delays.  #VoteRed to end this madness and to #MAGA",0
28,46444,"#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he didn't have an overdose and died. End. Stop wanting someone to blame, fuckers.",1
29,60587,@USER How is she not hiding her ugly personality. She is the worst.,1
30,73516,"$10 Million reallocated from FEMA to ICE. This guy doesn't give zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. URL",1
31,13433,#Cuckservative Traitors Are not Worse Than Fortnite Players URL #Conservatives #TriggerWarningRadio,0
32,42325,#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I didn't think this Govt promised to protect whistleblowers?  URL,1
33,15180,#FortniteBattleRoyale #XboxShare @USER   Please don't ban this cheating scum.  he is literally invisible URL,1
34,31354,All these sick ass ppl from school didn't give me something and now I have to chug down this nasty drink so it can go away🙃,1
35,76833,"#NEWS Jeff Sessions: If you want more death, ' don't listen to the ACLU, Antifa, Black Lives Matter'"" URL #CNBC""",0
