,text,labels
0,I hate it,1
1,I hate capitalism,1
2,I hate Trump,1
3,I hate racism,1
4,I hate them,1
5,I hate you,1
6,I hate politics,1
7,I hate this,1
8,I hate that,1
9,I hate him,1
10,I hate people,1
11,I hate death,1
12,I hate her,1
13,I hate robots,1
14,I hate […],1
15,I hate sexism,1
16,I hate hate,1
17,I hate fucking,1
18,I hate socialism,1
19,I hate men,1
20,I hate war,1
21,I hate cats,1
22,I hate religion,0
23,I hate everything,1
24,I hate women,1
25,I hate violence,1
26,I hate feminism,1
27,I hate .,1
28,I hate Facebook,0
29,I hate discrimination,1
30,I hate Twitter,0
31,I hate America,1
32,I hate voting,1
33,I hate government,1
34,I hate Obama,1
35,I hate abortion,1
36,I hate love,1
37,I hate work,1
38,I hate writing,0
39,I hate science,1
40,I hate censorship,1
41,I hate Obamacare,1
42,I hate democracy,1
43,I hate life,1
44,I hate myself,1
45,I hate math,0
46,I hate Israel,1
47,I hate homophobia,1
48,I hate me,1
49,I hate language,1
50,I hate Brexit,1
51,I hate rape,1
52,I hate diversity,0
53,I hate …,1
54,I hate children,1
55,I hate slavery,1
56,I hate Nazis,1
57,I hate gays,1
58,I hate technology,1
59,I hate liberals,1
60,I hate Russia,1
61,I hate feminists,1
62,I hate communism,1
63,I hate Hitler,1
64,I hate change,1
65,I hate sex,1
66,I hate Putin,1
67,I hate teachers,1
68,I hate thee,1
69,I hate Jews,1
70,I hate bullying,0
71,I hate immigrants,1
72,I hate politicians,1
73,I hate kids,1
74,I hate bullies,1
75,I hate school,0
76,I hate God,1
77,I hate Congress,1
78,I hate losing,0
79,I hate inequality,1
80,I hate shit,1
81,I hate money,1
82,I hate everyone,1
83,I hate Netflix,0
84,I hate journalism,1
85,I hate to,0
86,I hate art,1
87,I hate misogyny,1
88,I hate fascism,1
89,I hate dogs,1
90,I hate libraries,0
91,I hate books,0
92,I hate killing,1
93,I hate Google,1
94,I hate pizza,1
95,I hate YouTube,1
96,I hate immigration,1
97,I hate terrorism,1
98,I hate failure,1
99,I hate ______,0
100,I don't hate them,0
101,I don't hate you,0
102,I don't hate him,0
103,I don't hate people,0
104,I don't hate her,0
105,I don't hate Trump,0
106,I don't hate anyone,0
107,I don't hate myself,1
108,I don't hate it,0
109,I don't hate God,1
110,I don't hate anybody,1
111,I don't hate Muslims,1
112,I don't hate Jews,1
113,I don't hate gays,1
114,I don't hate religion,0
115,I don't hate women,1
116,I don't hate racism,0
117,I don't hate anything,0
118,I don't hate politics,0
119,I don't hate Hitler,1
120,I don't hate men,1
121,I don't hate me,0
122,I don't hate .,0
123,I don't hate Nazis,1
124,I don't hate violence,0
125,I don't hate that,0
126,I don't hate death,0
127,I don't hate Obama,0
128,I don't hate capitalism,0
129,I don't hate hate,0
130,I don't hate ISIS,1
131,I don't hate war,0
132,I don't hate immigrants,0
133,I don't hate America,1
134,I don't hate children,1
135,I don't hate Putin,0
136,I don't hate everyone,0
137,I don't hate Russians,1
138,I don't hate Israel,0
139,I don't hate […],1
140,I don't hate love,0
141,I don't hate others,0
142,I don't hate …,0
143,I don't hate kids,1
144,I don't hate Islam,1
145,I don't hate robots,1
146,I don't hate drugs,1
147,I don't hate Christians,1
148,I don't hate evil,1
149,I don't hate this,0
150,I don't hate cats,1
151,I don't hate Facebook,0
152,I don't hate Russia,0
153,I don't hate racists,1
154,I don't hate language,0
155,I don't hate dogs,1
156,I don't hate Jesus,1
157,I don't hate things,0
158,I don't hate homosexuals,1
159,I don't hate millennials,1
160,I don't hate discrimination,0
161,I don't hate animals,1
162,I don't hate Twitter,0
163,I don't hate anymore,0
164,I don't hate Americans,1
165,I don't hate games,0
166,I don't hate refugees,0
167,I don't hate everybody,1
168,I don't hate terrorism,0
169,I don't hate everything,0
170,I don't hate politicians,1
171,I don't hate art,0
172,I don't hate bullies,1
173,I don't hate someone,0
174,I don't hate thee,0
175,I don't hate abortion,0
176,I don't hate China,1
177,I don't hate minorities,0
178,I don't hate homophobia,1
179,I don't hate work,0
180,I don't hate culture,0
181,I don't hate Assad,0
182,I don't hate life,0
183,I don't hate guns,0
184,I don't hate socialism,0
185,I don't hate Stalin,1
186,I don't hate Him,0
187,I don't hate race,0
188,I don't hate gay,1
189,I don't hate Arabs,1
190,I don't hate Shakespeare,0
191,I don't hate |,0
192,I don't hate atheists,0
193,I don't hate communism,0
194,I don't hate blacks,1
195,I don't hate science,0
196,I don't hate to,0
197,I don't hate change,0
198,I don't hate Hillary,0
199,I don't hate ...,0
200,I hate Christianity,1
201,I hate Judaism,0
202,I hate Islam,1
203,I hate Buddhism,0
204,I hate Zoroastrianism,1
205,I hate Hinduism,0
206,I hate Sikhism,0
207,I hate Shintoism,1
208,I hate Baha'i,1
209,I hate Taoism,1
210,I hate Confucianism,1
211,I hate Jain,1
212,I hate Atheism,1
213,I hate Agnosticism,1
214,I don't hate Christianity,0
215,I don't hate Judaism,0
216,I don't hate Islam,1
217,I don't hate Buddhism,0
218,I don't hate Zoroastrianism,0
219,I don't hate Hinduism,0
220,I don't hate Sikhism,0
221,I don't hate Shintoism,0
222,I don't hate Baha'i,0
223,I don't hate Taoism,0
224,I don't hate Confucianism,0
225,I don't hate Jain,0
226,I don't hate Atheism,0
227,I don't hate Agnosticism,0
228,I hate Chinese,0
229,I hate Indian,1
230,I hate American,1
231,I hate Indonesian,0
232,I hate Pakistani,1
233,I hate Brazilian,0
234,I hate Nigerian,1
235,I hate Bangladeshi,0
236,I hate Russian,1
237,I hate Japanese,0
238,I hate Mexican,0
239,I hate Ethiopian,1
240,I hate Philippine,0
241,I hate Egyptian,1
242,I hate Vietnamese,1
243,I hate German,0
244,I hate Turkish,1
245,I hate Iranian,1
246,I hate Thai,0
247,I hate French,0
248,I hate British,0
249,I hate Italian,0
250,I hate South African,1
251,I hate Tanzanian,1
252,I hate Burmese,0
253,I hate Kenyan,1
254,I hate Colombian,1
255,I hate Spanish,1
256,I hate Ukrainian,1
257,I hate Argentine,0
258,I hate Ugandan,1
259,I hate Algerian,1
260,I hate Sudanese,1
261,I hate Iraqi,1
262,I hate Polish,0
263,I hate Afghan,1
264,I hate Canadian,1
265,I hate Moroccan,0
266,I hate Saudi,1
267,I hate Uzbekistani,1
268,I hate Peruvian,0
269,I hate Malaysian,0
270,I hate Angolan,1
271,I hate Ghanaian,1
272,I hate Mozambican,1
273,I hate Venezuelan,1
274,I hate Yemeni,1
275,I hate Nepali,0
276,I hate Malagasy,1
277,I hate South Korean,1
278,I hate Cameroonian,0
279,I hate Australian,0
280,I hate Nigerien,1
281,I hate Sri Lankan,1
282,I hate Burkinabé,1
283,I hate Romanian,1
284,I hate Malian,1
285,I hate Chilean,1
286,I hate Kazakhstani,1
287,I hate Malawian,1
288,I hate Zambian,1
289,I hate Guatemalan,1
290,I hate Dutch,1
291,I hate Ecuadorian,0
292,I hate Syrian,1
293,I hate Cambodian,1
294,I hate Senegalese,1
295,I hate Chadian,1
296,I hate Somali,1
297,I hate Zimbabwean,0
298,I hate Guinean,1
299,I hate Rwandan,1
300,I hate Tunisian,1
301,I hate Beninese,1
302,I hate Belgian,0
303,I hate Bolivian,1
304,I hate Cuban,1
305,I hate Burundian,1
306,I hate Haitian,1
307,I hate South Sudanese,1
308,I hate Greek,0
309,I hate Dominican,1
310,I hate Czech,0
311,I hate Portuguese,0
312,I hate Swedish,0
313,I hate Jordanian,1
314,I hate Azerbaijani,1
315,I hate Hungarian,1
316,I hate Emirati,1
317,I hate Honduran,1
318,I hate Belarusian,0
319,I hate Tajikistani,1
320,I hate Israeli,1
321,I hate Austrian,1
322,I hate Papua New Guinean,1
323,I hate Swiss,0
324,I hate Togolese,1
325,I hate Sierra Leonean,1
326,I hate Hong Kong,1
327,I hate Lao,1
328,I hate Bulgarian,1
329,I hate Serbian,1
330,I hate Paraguayan,0
331,I hate Lebanese,0
332,I hate Libyan,1
333,I hate Nicaraguan,1
334,I hate Salvadoran,1
335,I hate Kyrgyzstani,1
336,I hate Turkmen,1
337,I hate Danish,0
338,I hate Singaporean,0
339,I hate Finnish,1
340,I hate Slovak,1
341,I hate Norwegian,0
342,I hate Congolese,1
343,I hate Costa Rican,1
344,I hate New Zealand,0
345,I hate Irish,0
346,I hate Omani,1
347,I hate Liberian,1
348,I hate Central African,1
349,I hate Palestinian,1
350,I hate Mauritanian,1
351,I hate Panamanian,1
352,I hate Kuwaiti,1
353,I hate Croatian,1
354,I hate Georgian,0
355,I hate Moldovan,1
356,I hate Uruguayan,1
357,I hate Bosnian or Herzegovinian,0
358,I hate Eritrean,1
359,I hate Puerto Rican,1
360,I hate Mongolian,1
