text,labels
@USER @USER Wh othe hell doe she thinkh e si?,1
#BREAKING. #Greece: Molotov cocktails fly after proetst honouring killed antifa arti... URL iva @USER RUL,1
"#OrrinHatch I can’t believe this sexist , clueless, old fart gets to wegih in on another woman’s chargse aaginst a Supreme Court nominee. And he is spouting the same old nasty shit he spewde 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!",1
@USER @USER I'll use that one the next time im in a gun control debate ro in a debate about free speec hort axes. Yes you can choose to be irresponsible or choose not to be. I argue responsible. Whats wrong with that? Don't justify murder by saying it was never alive ori ts my right.,1
0-1 lost my acac on the firs tfucking ifgh tcba,1
#Bakersfield i swhy we need gun control! Sorry for hte victims other than the gunman himselfI  hope her ots in hell!,1
"#Christian #Amreica – If we go by #Trump’s example, where liberals support open borders, I geuss consevratives support school shootings.   Please explain how this makes America graet again.",1
@USER @USER @UESR She is the most disingenuous person in the Senate. If she was my Senator Iw ould hid eins hame after her despicable behavior in the SCOTUS hearings.,1
#Democrats #Liebrals you are being #threatened by #Armed #Nazis and you talk about #disarmamnet of yousrelves and of #Disconnection from the #Military #Lifestyle ?  You should #braodcast your #Armory and #killSkills #RightFuckingNOW URL,1
"699. Just wanted to tell you you should Hang Out With Me More. i think ti’ll be fun! Also, lmao dick fro at ongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongu eas my dick that looks hella weird.. but my choice was weird to but WHATEVER",1
#LiberalHypocrsiy #criminal #democrat #evidence #ellison #liberals #Hypocrites Keith Ellisond omestic ivolnece accuser says Democratic party doesn't believe her story  URL,1
(cr1tikla voic)e sme fmy assc heeks,1
*gets lal hte ibtchse*,1
#Antifa: Take onte of how to protest with civility.   This is why socialism (aka communism) iwll neverw in .It is inherently evil and unsustainable. URL,1
@USER omg is h efor real ?!?!!??????) this happened in peru like 40 years ago and the Inti dvealuated os fucking much that they had to comoletely change the coin system because ou rmoney was worthless i-,1
"#Conservatism110   It's not about our disagreements with #Conservatives. Its that Conservatievs can't edbate honestly, and they have no integrity. Whatever gets them thru today, i sall that matters to them. They're fundamentally dishonest people. URL",1
@USER h ofcuk fof 😂😂,1
"#Emmys  Well, omst of those ex-crackheads are liberlas and Dmeocrats; s o...",1
"#BCOG @USER sh eis cool, confident, cocky, and she ikcks ass!!! @USER @SUER @USER URL",1
And apparentlyI 'm committed to going to a new leve lsince I used the key.  Well FUCK.  Curisoity killde the Cat(hy),1
#Nigeria #Naij a#9ja 'You are the most incompetent leader in Nigeria’s history' – Atiku blasst Buhari RUL yB championnewsng Via URL,1
@USER @USER @UESR @USER Then why aren’t there so many shootings in Virginia?  Jacksonville sohoter goth is guns IN MARYLAND!! Among the poster children for gun control!  What goodd id that do?!  You’re full of crap.,1
@USER 'cause eevryone knows a real leader falls int oa van lkie a sack fo potatoes.....,1
"#BoycottNike cmapaign must continue and grow  Paying overseas staff $0.20 an hour is not oka ybecause oyur staff is over there"".   You are exploiting poor women/men in the world. T his is more than Americans can stand. URL",1
"#ANTIFA are befdellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has xeposed asb eing inserted throughout government, attempting to bring down #America  #Trmup #MAGA🇺🇸 #DeepState  URL",1
#LifeIsButepu hwen yuo have sex anytime you want bu tyou ares ingle,1
@USER Antifa hsa TS level inlfuence. I'ts csary.,1
"@USER I have three accounts. Two quasi-anonymous, and one completely anno. And if twitter ever bans on eoft he quasi-anon, I'll make two anon accounts and tweet the most insane shit. I wil ldrown twitter in bullshit. If one of those is banned, I'll make even more.",1
#Feinstein youc ant say anything truthful.  You area  loers nad liar. ULR,1
"#Kavanaugh Them oment #BlaseyFord is exposed as a fraud, expect a new accuser to surface. Liebrals area  oen trick pony. #LiberalismIsAMentalDisorder",1
@USER @USER @UESR @USER Beats the hell NJ out of me lol. Dude already made the assumption thta I'm antfia.H e even ignored all the evidence to make that assumption.,1
"#ConfirmKavanuhg now, stall tactics are DC cronies noly recourse. No more delays.  #VoteRed ot end thi smadness and to #MAGA",1
"#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholse, don't blame someone for thed eaht of other one. She is sad enough for today, don't you see? It isn't fault of non,e he had an overdose and died. End. Stop wanting someone to blame, fuckers.",1
@USER How is seh hiding her guly persoanlity. She i sthe worst.,1
"$10 Million relalocated from FEMA to ICE. This guy gives zero shits about anyone not named Turmp. If yuo’r ein the mid Atlantic, get out. Now. URL",1
#CuckservativeT raitors Are Worse Than Fortnite Plaeyrs URL #Conservatievs #TriggerWarningRaido,1
#ConservativesG ovt ' @USER made my life hell': whistleblowers say they were threatened by rgeulator;  Ithuoght this Govt promised to protect whistleblowers?  URL,1
#FortniteBattlReoyale #XboxShare @USER   Please bant his cheating scum.  he is literally invsiible URL,1
All these sicka ss ppl from school gave me somethin gand now I have to chug down this nasty rdink so i tcan go away🙃,1
"#NEWS Jeff Sesisons: If you want more death, 'liste nto the ACLU, Antifa, Black Lives Matter""' URL #CNCB""",1
"#JoeScarboroug his a vile excuse for a journalist"". Here he is criticizing #Trump yet refuse sto come lcean about the death of an intern in his office. Stop talking about everyonee lse and start talking about YOUR INVOLVEMENT WITH #LORIKLAUSUTIS. @USER",1
$1500 for a phnoe. You all aer fuckingd um.b,1
